ts,x,y,z,qw,qx,qy,qz,rx,ry,rz
52029633,0.701753,-3.66553,0.0336193,-0.184334,-0.0750373,-0.0612986,0.978076,-0.0937353,0.170204,-2.77703
52096300,0.694457,-3.69989,0.0326339,-0.207971,-0.077706,-0.0669548,0.972742,-0.0997115,0.179996,-2.72934
52162966,0.686438,-3.73773,0.0301889,-0.235864,-0.0784997,-0.0748934,0.965711,-0.109772,0.188052,-2.67286
52229633,0.677434,-3.77793,0.0264889,-0.268543,-0.0759538,-0.0814991,0.956804,-0.117551,0.190264,-2.60557
52296300,0.665301,-3.82041,0.0221454,-0.303837,-0.0776838,-0.0822546,0.945982,-0.110809,0.198255,-2.53107
52362966,0.650125,-3.86376,0.0172789,-0.33773,-0.0780969,-0.0805928,0.934529,-0.100075,0.201771,-2.45816
52429633,0.632545,-3.90689,0.0134823,-0.371436,-0.0745848,-0.0789751,0.922082,-0.0921553,0.197496,-2.38485
52496300,0.61312,-3.95024,0.00998259,-0.407468,-0.0678662,-0.0767689,0.907453,-0.0856141,0.186817,-2.30553
52562966,0.592117,-3.99602,0.00714598,-0.447679,-0.0624232,-0.0766282,0.888715,-0.0817281,0.180542,-2.21573
52629633,0.570881,-4.04414,0.00800667,-0.480551,-0.0667591,-0.0889587,0.869885,-0.0926381,0.203036,-2.14162
52696300,0.551808,-4.08918,0.00902983,0.515239,0.0719157,0.0948378,-0.848742,-0.0891741,0.221614,-2.06033
52762966,0.537074,-4.1322,0.00775179,0.546847,0.0608794,0.086032,-0.830572,-0.0779044,0.196484,-1.98476
52829633,0.528038,-4.17754,0.00782281,0.572195,0.0557377,0.0956118,-0.812616,-0.0936314,0.201362,-1.92406
52896300,0.522519,-4.21858,0.00936391,0.600949,0.0590263,0.101307,-0.790641,-0.091519,0.216792,-1.85172
52962966,0.519509,-4.2563,0.00780568,0.625696,0.0531722,0.0965117,-0.772245,-0.0843752,0.204316,-1.78835
53029633,0.517903,-4.29722,0.00345616,0.644355,0.0504686,0.0987342,-0.756645,-0.0862865,0.205047,-1.73964
53096300,0.516237,-4.33843,-0.000396648,0.657533,0.0528594,0.0972437,-0.745251,-0.0771693,0.208169,-1.70376
53162966,0.51532,-4.37989,-0.00210039,0.667239,0.0517798,0.0976658,-0.736595,-0.0765051,0.208113,-1.67752
53229633,0.516314,-4.42339,-0.00107391,0.673692,0.0467095,0.103917,-0.730177,-0.0909361,0.209764,-1.6608
53296300,0.518747,-4.46848,0.00471471,0.681157,0.0469088,0.114884,-0.721545,-0.104736,0.226123,-1.64027
53362966,0.520819,-4.51223,0.0123415,0.6906,0.0485034,0.119501,-0.711645,-0.106238,0.236282,-1.61343
53429633,0.524317,-4.55328,0.01673,0.695511,0.033234,0.112644,-0.708852,-0.116161,0.205244,-1.60177
53496300,0.52859,-4.59644,0.0195797,0.701275,0.0352037,0.113044,-0.70299,-0.112249,0.209576,-1.58506
53562966,0.532906,-4.63704,0.0216937,0.710536,0.0415347,0.114355,-0.693063,-0.102165,0.221895,-1.55729
53629633,0.539135,-4.67618,0.0216644,0.719048,0.0313112,0.121421,-0.683554,-0.124251,0.219171,-1.53388
53696300,0.543036,-4.71578,0.020239,0.728636,0.0262457,0.122396,-0.673365,-0.129947,0.215372,-1.50606
53762966,0.545413,-4.75806,0.0185823,0.738206,0.0275819,0.125735,-0.66218,-0.129382,0.224035,-1.4769
53829633,0.546604,-4.80257,0.0146147,0.745954,0.0252167,0.124479,-0.653775,-0.1286,0.220465,-1.45353
53896300,0.546326,-4.85092,0.00987998,0.757644,0.0282357,0.118135,-0.641266,-0.111568,0.216919,-1.41696
53962966,0.544593,-4.90194,0.00707754,0.775061,0.0332194,0.107133,-0.621852,-0.0836624,0.208901,-1.36109
54029633,0.542972,-4.95488,0.00873493,0.790745,0.0361756,0.0938771,-0.603822,-0.0572565,0.193355,-1.30987
54096300,0.541579,-5.00861,0.0150232,0.802307,0.0453123,0.089325,-0.588448,-0.0330692,0.19795,-1.26893
54162966,0.54037,-5.0597,0.0181588,0.806529,0.040237,0.0766322,-0.584824,-0.0250989,0.171515,-1.25692
